ORDER,Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p,COMENTÁRIO
,अकारान्तः ‘एक’ शब्दः नित्यमेकवचनान्तः (Um/Uma),१२६. पुंसि,सङ्ख्याशब्द प्रकरणम्,एकः,–,–,–,–,–,एकम्,–,–,एकेन,–,–,एकस्मै,–,–,एकस्मात्,–,–,एकस्य,–,–,एकस्मिन्,–,–,"सङ्ख्याव्यतिरिक्तेष्वर्थेषु अस्य द्विवचन-बहुवचने अपि स्तः।
तदा अस्य ‘सर्व’ शब्दवत् रूपाणि॥"
49,,१२७. स्त्रियाम्,सङ्ख्याशब्द प्रकरणम्,एका,–,–,–,–,–,एकाम्,–,–,एकया,–,–,एकस्यै,–,–,एकस्याः,–,–,एकस्याः,–,–,एकस्याम्,–,–,
,,१२८. क्लीबे,सङ्ख्याशब्द प्रकरणम्,एकम्,–,–,–,–,–,एकम्,–,–,एकेन,–,–,एकस्मै,–,–,एकस्मात्,–,–,एकस्य,–,–,एकस्मिन्,–,–,
,इकारान्तः ‘द्वि’ शब्दः नित्यं द्विचनान्तः (Dois/Duas),१२९. पुंसि,सङ्ख्याशब्द प्रकरणम्,–,द्वौ,–,–,–,–,–,द्वौ,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वयोः,–,–,द्वयोः,,
50,,१३०. स्त्रियाम्,सङ्ख्याशब्द प्रकरणम्,–,द्वे,–,–,–,–,–,द्वे,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वयोः,–,–,द्वयोः,,
,,१३१. क्लीबे,सङ्ख्याशब्द प्रकरणम्,–,द्वे,–,–,–,–,–,द्वे,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वाभ्याम्,–,–,द्वयोः,–,–,द्वयोः,,
,इकारान्तः ‘त्रि’ शब्दः नित्यं बहुचनान्तः (Três),१३२. पुंसि,सङ्ख्याशब्द प्रकरणम्,–,–,त्रयः,–,–,–,–,–,त्रीन्,–,–,त्रिभिः,–,–,त्रिभ्यः,–,–,त्रिभ्यः,–,–,त्रयाणाम्,–,–,त्रिषु,
51,,१३३. स्त्रियाम्,सङ्ख्याशब्द प्रकरणम्,–,–,तिस्रः,–,–,–,–,–,तिस्रः,–,–,तिसृभिः,–,–,तिसृभ्यः,–,–,तिसृभ्यः,–,–,तिसृणाम्,–,–,तिसृषु,
,,१३४. क्लीबे,,–,–,त्रीणि,–,–,–,–,–,त्रीणि,–,–,त्रिभिः,–,–,त्रिभ्यः,–,–,त्रिभ्यः,–,–,त्रयाणाम्,–,–,त्रिषु,
,रेफान्तः ‘चतुर्’ शब्दः नित्यं बहुचनान्तः (Quatro),१३५. पुंसि,,–,–,चत्वारः,–,–,–,–,–,चतुरः,–,–,चतुर्भिः,–,–,चतुर्भ्यः,–,–,चतुर्भ्यः,–,–,चतुर्णाम्,–,–,चतुषु,पञ्चन् प्रभृतयः नवदशान् पर्यन्ताः शब्दाः त्रिषु लिङ्गेष समनरूपः बहुवचन अप्येव सन्ति॥
52,,१३६. स्त्रियाम्,,–,–,चतस्रः,–,–,–,–,–,चतस्रः,–,–,चतुसृभिः,–,–,चतुसृभ्यः,–,–,चतुसृभ्यः,–,–,चतुसृणाम्,–,–,चतुसृषु,
,,१३७. क्लीबे,,–,–,चत्वारि,–,–,–,–,–,चत्वारि,–,–,चतुर्भिः,–,–,चतुर्भ्यः,–,–,चतुर्भ्यः,–,–,चतुर्णाम्,–,–,चतुषु,
53,१३८. पञ्चन् (नान्तः),,सङ्ख्याशब्द प्रकरणम्,–,–,पञ्च,–,–,–,–,–,पञ्च,–,–,पञ्चभिः,–,–,पञ्चभ्यः,–,–,पञ्चभ्यः,–,–,पञ्चानाम्,–,–,पञ्चसु,
54,१३९. षष् (षान्तः),,सङ्ख्याशब्द प्रकरणम्,–,–,षट्,–,–,–,–,–,षट्,–,–,षड्भिः,–,–,षड्भ्यः,–,–,षड्भ्यः,–,–,षण्णाम्,–,–,षट्सु,
55,१४०. सप्तन् (नान्तः),,सङ्ख्याशब्द प्रकरणम्,–,–,सप्त,–,–,–,–,–,सप्त,–,–,सप्तभिः,–,–,सप्तभ्यः,–,–,सप्तभ्यः,–,–,सप्तानाम्,–,–,सप्तसु,
,"१४१. नकारान्तः ‘अष्टन्’ शब्दः (Oito) 
अस्य द्विविधं रूपम्",प्रथमं रूपम् (हृस्वान्तम्),सङ्ख्याशब्द प्रकरणम्,–,–,अष्ट,–,–,–,–,–,अष्ट,–,–,अष्टभिः,–,–,अष्टभ्यः,–,–,अष्टभ्यः,–,–,अष्टानाम्,–,–,अष्टसु,‘नवन्’ प्रभृतयः ‘नवदशन्’ पर्यन्ताः शब्दाः ‘सप्तन्’ शब्दवत्॥
56,,द्वितीयं रूपम् (दीर्घान्तम्),सङ्ख्याशब्द प्रकरणम्,–,–,अष्टौ,–,–,–,–,–,अष्टौ,–,–,अष्टाभिः,–,–,अष्टाभ्यः,–,–,अष्टाभ्यः,–,–,अष्टानाम्,–,–,अष्टासु,
