ORDER,Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p,COMENTÁRIO
1,१. अकारान्तः पुंलिङ्गः ‘राम’ शब्दः (Rāma),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,रामः,रामौ,रामाः,हे राम,हे रामौ,हे रामाः,रामम्,रामौ,रामान्,रामेण,रामाभ्याम्,रामैः,रामाय,रामाभ्याम्,रामेभ्यः,रामात्,रामाभ्याम्,रामेभ्यः,रामस्य,रामयोः,रामाणाम्,रामे,रामयोः,रामेषु,"एवं देव, मुकुन्द, शिव, हर प्रभृतयः"
2,२. इकारान्तः पुंलिङ्गः ‘हरि’ शब्दः (Viṣṇu),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,हरिः,हरी,हरयः,हे हरे,हे हरी,हे हरयः,हरिम्,हरी,हरीन्,हरिणा,हरिभ्याम्,हरिभिः,हरये,हरिभ्याम्,हरिभ्यः,हरेः,हरिभ्याम्,हरिभ्यः,हरेः,हर्योः,हरीणाम्,हरौ,हर्योः,हरिषु,"एवं रवि, कवि, मुनि, विधि, श्रीपति प्रभृतयः"
3,५. उकारान्तः पुंलिङ्गः ‘गुरु’ शब्दः (Mestre),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,गुरुः,गुरू,गुरवः,हे गुरो,हे गुरू,हे गुरवः,गुरुम्,गुरू,गुरून्,गुरुणा,गुरुभ्याम्,गुरुभिः,गुरवे,गुरुभ्याम्,गुरुभ्यः,गुरोः,गुरुभ्याम्,गुरुभ्यः,गुरोः,गुर्वोः,गुरूणाम्,गुरौ,गुर्वोः,गुरुषु,"एवं शम्भु, विष्णु, भानु, सूनु प्रभृतयः"
4,६. ऋकारान्तः पुंलिङ्गः ‘दातृ’ शब्दः (Doador),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,दाता,दातारौ,दातारः,हे दातः,हे दातारौ,हे दातारः,दातारम्,दातारौ,दातॄन्,दात्रा,दातृभ्याम्,दातृभिः,दात्रे,दातृभ्याम्,दातृभ्यः,दातुः,दातृभ्याम्,दातृभ्यः,दातुः,दात्रोः,दातॄणाम्,दातरि,दात्रोः,दातृषु,"एवं कर्तृ, धातृ, वक्तृ प्रभृतयः"
5,७. ऋकारान्तः पुंलिङ्गः ‘पितृ’ शब्दः (Pai),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,पिता,पितरौ,पितरः,हे पितः,हे पितरौ,हे पितरः,पितरम्,पितरौ,पितॄन्,पित्रा,पितृभ्याम्,पितृभिः,पित्रे,पितृभ्याम्,पितृभ्यः,पितुः,पितृभ्याम्,पितृभ्यः,पितुः,पित्रोः,पितॄणाम्,पितरि,पित्रोः,पितृषु,"एवं भ्रातृ, जामातृ, देवृ, सव्येष्टृ, नृ शब्दाः।
‘नृ’ शब्दस्य षष्ठीबहुवचणे, ‘नृणाम्’ ‘नॄणाम्’ इति रूपद्वयं विशेष॥"
6,११. आकारान्तः स्त्रीलिङ्गः ‘सीता’ शब्दः (Sītā),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,सीता,सीते,सीताः,हे सीते,हे सीते,हे सीताः,सीताम्,सीते,सीताः,सीतया,सीताभ्याम्,सीताभिः,सीतायै,सीताभ्याम्,सीताभ्यः,सीतायाः,सीताभ्याम्,सीताभ्यः,सीतायाः,सीतयोः,सीतानाम्,सीतायाम्,सीतयोः,सीतासु,"एवं रमा, माला, क्षमा, लज्जा प्रभृतयः।
‘अम्ब’ ‘अक्का’ ‘अल्ला’ शब्दाः अप्येवमेव किन्तु तेषां सम्बोधनप्रथमैवचने ‘हे अम्ब’ ‘हे अक्क’ ‘हे अल्ल’ इति विशेषः॥"
7,१२. इकारान्तः स्त्रीलिङ्गः ‘मति’ शब्दः (Mente),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,मतिः,मती,मतयः,हे मते,हे मती,हे मतयः,मतिम्,मती,मतीः,मत्या,मतिभ्याम्,मतिभिः,मत्यै/मतये,मतिभ्याम्,मतिभ्यः,मत्याः/मतेः,मतिभ्याम्,मतिभ्यः,मत्याः/मतेः,मत्योः,मतीनाम्,मत्याम्/मतौ,मत्योः,मतिषु,"एवं श्रुति, रुचि, बुद्धि प्रभृतयः"
8,१३. ईकारान्तः स्त्रीलिङ्गः ‘नदी’ शब्दः (Rio),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,नदी,नद्यौ,नद्यः,हे नदि,हे नद्यौ,हे नद्यः,नदीम्,नद्यौ,नदीः,नद्या,नदीभ्याम्,नदीभिः,नद्यै,नदीभ्याम्,नदीभ्यः,नद्याः,नदीभ्याम्,नदीभ्यः,नद्याः,नद्योः,नदीनाम्,नद्याम्,नद्योः,नदीषु,"एवं गौरी, वाणी, सखी, देवी, कत्री, दात्री प्रभृतयः।
‘लक्ष्मी’ ‘तरी’ ‘तन्त्री’ शब्दानाम् तु प्रथमैकवचने ‘लक्ष्मीः’, ‘तरीः’, ‘तन्त्रीः’ इति सविसर्गं रूपम्॥"
9,१६. उकारान्तः स्त्रीलिङ्गः ‘धेनु’ शब्दः (Vaca),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,धेनुः,धेनू,धेनवः,हे धेनो,हे धेनू,हे धेनवः,धेनुम्,धेनू,धेनूः,धेन्वा,धेनुभ्याम्,धेनुभिः,धेन्वै/धेनवे,धेनुभ्याम्,धेनुभ्यः,धेन्वाः/धेनोः,धेनुभ्याम्,धेनुभ्यः,धेन्वाः/धेनोः,धेन्वोः,धेनूनाम्,धेन्वाम्/धेनौ,धेन्वोः,धेनुषु,"एवं तनु, इषु, रज्जु, चञ्चु प्रभृतयः॥"
10,१७. ऊकारान्तः स्त्रीलिङ्गः ‘वधू’ शब्दः (Noiva),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,वधूः,वध्वौ,वध्वः,हे वधु,हे वध्वौ,हे वध्वः,वधूम्,वध्वौ,वधूः,वध्वा,वधूभ्याम्,वधूभिः,वध्वै,वधूभ्याम्,वधूभ्यः,वध्वाः,वधूभ्याम्,वधूभ्यः,वध्वाः,वध्वोः,वधूनाम्,वध्वाम्,वध्वोः,वधूषु,"एवं चमू, श्वश्रू प्रभृतयः॥"
