ORDER,Title,categoria,prakarana_label,1/s,1/d,1/p,2/s,2/d,2/p,3/s,3/d,3/p
57,लट् - Presente (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भवति,भवतः,भवन्ति,भवसि,भवथः,भवथ,भवामि,भवावः,भवामः
58,लङ् - Passado Imperfeito (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,अभवत्,अभवताम्,अभवन्,अभवः,अभवतम्,अभवत,अभवम्,अभवाव,अभवाम
59,लोट् - Imperativo (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भवतु/भवतात्,भवताम्,भवन्तु,भव/भवतात्,भवतम्,भवत,भवानि,भवाव,भवाम
60,विधिलिङ् - Potencial (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भवेत्,भवेताम्,भवेयुः,भवेः,भवेतम्,भवेत,भवेयम्,भवेव,भवेम
61,लुट् - Futuro 1 (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भविता,भवितारौ,भवितारः,भवितासि,भवितास्थः,भवितास्थ,भवितास्मि,भवितास्वः,भवितास्मः
62,लृट् - Futuro 2 (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भविष्यति,भविष्यतः,भविष्यन्ति,भविष्यसि,भविष्यथः,भविष्यथ,भविष्यामि,भविष्यावः,भविष्यामः
63,लृङ् - Condicional (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,अभविष्यत्,अभविष्यताम्,अभविष्यन्,अभविष्यः,अभविष्यतम्,अभविष्यत,अभविष्यम्,अभविष्याव,अभविष्याम
64,लिट् - Passado Perfeito (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,बभूव,बभूवतुः,बभूवुः,बभूविथ,बभूवथुः,बभूव,बभूव,बभूविव,बभूविम
65,लुङ् - Aoristo (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,अभूत्,अभूताम्,अभूवन्,अभूः,अभूतम्,अभूत,अभूवम्,अभूव,अभूम
66,आशीर्लिङ् - Beneditivo (√भू – परस्मैपद),तिङन्त,तिङन्त प्रकरणम्,भूयात्,भूयास्ताम्,भूयासुः,भूयाः,भूयास्तम्,भूयास्त,भूयासम्,भूयास्व,भूयास्म
67,लट् - Presente (√वन्द् – आत्मनेपद),तिङन्त,तिङन्त प्रकरणम्,वन्दते,वन्देते,वन्दन्ते,वन्दसे,वन्देथे,वन्दध्वे,वन्दे,वन्दावहे,वन्दामहे
68,लङ् - Passado Imperfeito (√वन्द् – आत्मनेपद),तिङन्त,तिङन्त प्रकरणम्,अवन्दत,अवन्देताम्,अवन्दन्त,अवन्दथाः,अवन्देथाम्,अवन्दध्वम्,अवन्दे,अवन्दावहि,अवन्दामहि
69,लोट् - Imperativo (√वन्द् – आत्मनेपद),तिङन्त,तिङन्त प्रकरणम्,वन्दताम्,वन्देताम्,वन्दन्ताम्,वन्दस्व,वन्देथाम्,वन्दध्वम्,वन्दै,वन्दावहै,वन्दामहै
